vinculo,facultad,programa,q1_conoce,q2_situacion,q3_herramientas,q4_importante,q4_opcion_real,q4_cie_util,q4_participar,q5_razon,q6_apoyo,q7_medio
EST,ECON,ADM,2,INTERES_NOIDEA,2,3,5,5,4,NOIDEA,TAL,TT
EST,ECON,ADM,3,INTERES_NOIDEA,4,4,4,4,4,NOIDEA|NOPREP,MOD|TAL|FIN|LEG|INV|MKT|CONV,WA
EST,HUM,HIST,5,MARCHA,5,5,5,5,5,YA,MOD|TAL|FIN|LEG|MEN|INV|MKT|CONV|NET,CORREO
EGR,ECON,CONT,2,NOINTERES,1,2,3,3,1,DESC|ACC|CARR|NOIDEA,LEG,CORREO
EST,EDU,LEDF,1,INTERES_NOIDEA,4,5,4,4,5,ACC,MOD|TAL,CORREO
EST,HUM,HIST,1,INTERES_NOIDEA,1,5,5,3,5,DESC,MOD,CORREO
EST,HUM,HIST,2,IDEA,2,3,3,3,3,DESC,MOD|TAL,WA
EST,HUM,HIST,5,NOINTERES,2,4,5,3,5,YA,MOD|TAL|MKT,TT
EST,HUM,HIST,1,INTERES_NOIDEA,3,5,5,5,5,NOIDEA,MOD|TAL|FIN,CORREO
EST,HUM,HIST,1,INTERES_NOIDEA,1,4,4,3,4,DESC|TIEMPO,MOD,CORREO
EST,HUM,HIST,1,MARCHA,2,5,5,3,3,DESC,MOD,CORREO
EST,HUM,HIST,1,IDEA,1,3,3,3,3,DESC,MOD|TAL,WA
EST,HUM,HIST,3,INTERES_NOIDEA,1,3,2,5,2,ACC|CARR|NOIDEA,FIN|MKT|NET,CORREO
EST,HUM,HIST,1,NOINTERES,2,3,4,4,3,NOPREP,TAL|MKT|CONV,CORREO
EST,HUM,HIST,3,IDEA,2,4,5,5,5,DESC,MOD,WA
EST,HUM,HIST,1,INTERES_NOIDEA,2,3,4,4,4,DESC,MOD|TAL,CORREO
EST,HUM,HIST,2,INTERES_NOIDEA,1,5,5,5,5,DESC|TIEMPO|NOPREP,MOD|TAL|MEN|MKT,WA
EST,HUM,HIST,1,INTERES_NOIDEA,1,5,4,4,4,DESC,MOD|TAL|CONV,WA
EST,HUM,HIST,1,INTERES_NOIDEA,3,4,5,5,4,DESC,MOD,CORREO
